Pre-training on UORED and Hust, and fine-tuning on CWRU were conducted using a ResNet18 
with k-fold cross-validation, with all layers except layer3 and layer4 frozen during 
pre-training, and only layer4 used for fine-tuning in cross-validation to address 
similarity bias in severity levels.

Parameters
----------
epochs pretrain: 30
epochs finetune: 70
learning_rate_pretrain: 0.005
learning_rate_finetune: 0.0005

Pre-training
------------
Epoch 1/30, Loss Dataset 1: 1.1808, Loss Dataset 2: 0.7042
Epoch 2/30, Loss Dataset 1: 0.5604, Loss Dataset 2: 0.6141
Epoch 3/30, Loss Dataset 1: 0.3617, Loss Dataset 2: 0.2765
Epoch 4/30, Loss Dataset 1: 0.1678, Loss Dataset 2: 0.2585
Epoch 5/30, Loss Dataset 1: 0.1680, Loss Dataset 2: 0.2361
Epoch 6/30, Loss Dataset 1: 0.1159, Loss Dataset 2: 0.0766
Epoch 7/30, Loss Dataset 1: 0.1322, Loss Dataset 2: 0.0477
Epoch 8/30, Loss Dataset 1: 0.0421, Loss Dataset 2: 0.0632
Epoch 9/30, Loss Dataset 1: 0.0171, Loss Dataset 2: 0.0532
Epoch 10/30, Loss Dataset 1: 0.0289, Loss Dataset 2: 0.0067
Epoch 11/30, Loss Dataset 1: 0.0136, Loss Dataset 2: 0.0102
Epoch 12/30, Loss Dataset 1: 0.0044, Loss Dataset 2: 0.0172
Epoch 13/30, Loss Dataset 1: 0.0091, Loss Dataset 2: 0.0069
Epoch 14/30, Loss Dataset 1: 0.3989, Loss Dataset 2: 0.0729
Epoch 15/30, Loss Dataset 1: 0.0508, Loss Dataset 2: 0.0283
Epoch 16/30, Loss Dataset 1: 0.4800, Loss Dataset 2: 0.0493
Epoch 17/30, Loss Dataset 1: 0.0289, Loss Dataset 2: 0.0097
Epoch 18/30, Loss Dataset 1: 0.0152, Loss Dataset 2: 0.0101
Epoch 19/30, Loss Dataset 1: 0.0059, Loss Dataset 2: 0.0495
Epoch 20/30, Loss Dataset 1: 0.0073, Loss Dataset 2: 0.0048
Epoch 21/30, Loss Dataset 1: 0.3099, Loss Dataset 2: 0.0303
Epoch 22/30, Loss Dataset 1: 0.0230, Loss Dataset 2: 0.1732
Epoch 23/30, Loss Dataset 1: 0.0781, Loss Dataset 2: 0.0303
Epoch 24/30, Loss Dataset 1: 0.0264, Loss Dataset 2: 0.0071
Epoch 25/30, Loss Dataset 1: 0.0055, Loss Dataset 2: 0.0025
Epoch 26/30, Loss Dataset 1: 0.0020, Loss Dataset 2: 0.0021
Epoch 27/30, Loss Dataset 1: 0.0007, Loss Dataset 2: 0.0029
Epoch 28/30, Loss Dataset 1: 0.0037, Loss Dataset 2: 0.0009
Epoch 29/30, Loss Dataset 1: 0.0020, Loss Dataset 2: 0.0003
Epoch 30/30, Loss Dataset 1: 0.0009, Loss Dataset 2: 0.0001

Groups: {'000': 80, '007': 580, '014': 345, '021': 580, '028': 80}

Fold 1
Fold 1, Epoch 1/70, Train Loss: 9.6085
Fold 1, Epoch 2/70, Train Loss: 2.4259
Fold 1, Epoch 3/70, Train Loss: 0.8951
Fold 1, Epoch 4/70, Train Loss: 0.5121
Fold 1, Epoch 5/70, Train Loss: 0.2548
Fold 1, Epoch 6/70, Train Loss: 0.1433
Fold 1, Epoch 7/70, Train Loss: 0.0584
Fold 1, Epoch 8/70, Train Loss: 0.0445
Fold 1, Epoch 9/70, Train Loss: 0.0237
Fold 1, Epoch 10/70, Train Loss: 0.0160
Fold 1, Epoch 11/70, Train Loss: 0.0118
Fold 1, Epoch 12/70, Train Loss: 0.0064
Fold 1, Epoch 13/70, Train Loss: 0.0174
Fold 1, Epoch 14/70, Train Loss: 0.0332
Fold 1, Epoch 15/70, Train Loss: 0.0137
Fold 1, Epoch 16/70, Train Loss: 0.0173
Fold 1, Epoch 17/70, Train Loss: 0.0047
Fold 1, Epoch 18/70, Train Loss: 0.0021
Fold 1, Epoch 19/70, Train Loss: 0.0014
Fold 1, Epoch 20/70, Train Loss: 0.0016
Fold 1, Epoch 21/70, Train Loss: 0.0028
Fold 1, Epoch 22/70, Train Loss: 0.0013
Fold 1, Epoch 23/70, Train Loss: 0.0008
Fold 1, Epoch 24/70, Train Loss: 0.0015
Fold 1, Epoch 25/70, Train Loss: 0.0010
Fold 1, Epoch 26/70, Train Loss: 0.0003
Fold 1, Epoch 27/70, Train Loss: 0.0009
Fold 1, Epoch 28/70, Train Loss: 0.0009
Fold 1, Epoch 29/70, Train Loss: 0.0013
Fold 1, Epoch 30/70, Train Loss: 0.0008
Fold 1, Epoch 31/70, Train Loss: 0.0003
Fold 1, Epoch 32/70, Train Loss: 0.0176
Fold 1, Epoch 33/70, Train Loss: 0.0019
Fold 1, Epoch 34/70, Train Loss: 0.0015
Fold 1, Epoch 35/70, Train Loss: 0.0029
Fold 1, Epoch 36/70, Train Loss: 0.0021
Fold 1, Epoch 37/70, Train Loss: 0.0011
Fold 1, Epoch 38/70, Train Loss: 0.0004
Fold 1, Epoch 39/70, Train Loss: 0.0010
Fold 1, Epoch 40/70, Train Loss: 0.0014
Fold 1, Epoch 41/70, Train Loss: 0.0004
Fold 1, Epoch 42/70, Train Loss: 0.0005
Fold 1, Epoch 43/70, Train Loss: 0.0045
Fold 1, Epoch 44/70, Train Loss: 0.0022
Fold 1, Epoch 45/70, Train Loss: 0.0021
Fold 1, Epoch 46/70, Train Loss: 0.0025
Fold 1, Epoch 47/70, Train Loss: 0.0007
Fold 1, Epoch 48/70, Train Loss: 0.0070
Fold 1, Epoch 49/70, Train Loss: 0.0139
Fold 1, Epoch 50/70, Train Loss: 0.0065
Fold 1, Epoch 51/70, Train Loss: 0.0019
Fold 1, Epoch 52/70, Train Loss: 0.0008
Fold 1, Epoch 53/70, Train Loss: 0.0010
Fold 1, Epoch 54/70, Train Loss: 0.0004
Fold 1, Epoch 55/70, Train Loss: 0.0005
Fold 1, Epoch 56/70, Train Loss: 0.0002
Fold 1, Epoch 57/70, Train Loss: 0.0002
Fold 1, Epoch 58/70, Train Loss: 0.0002
Fold 1, Epoch 59/70, Train Loss: 0.0001
Fold 1, Epoch 60/70, Train Loss: 0.0007
Fold 1, Epoch 61/70, Train Loss: 0.0075
Fold 1, Epoch 62/70, Train Loss: 0.1148
Fold 1, Epoch 63/70, Train Loss: 0.0184
Fold 1, Epoch 64/70, Train Loss: 0.0051
Fold 1, Epoch 65/70, Train Loss: 0.0013
Fold 1, Epoch 66/70, Train Loss: 0.0011
Fold 1, Epoch 67/70, Train Loss: 0.0014
Fold 1, Epoch 68/70, Train Loss: 0.0018
Fold 1, Epoch 69/70, Train Loss: 0.0002
Fold 1, Epoch 70/70, Train Loss: 0.0001

Fold 1 Validation Loss: 6.3620, Accuracy: 43.00%
Confusion Matrix for Fold 1:
   N    I    O    B    
N  20   0    0    0    
I  9    67   44   0    
O  2    157  162  19   
B  0    30   81   9  

Fold 2
Fold 2, Epoch 1/70, Train Loss: 8.4910
Fold 2, Epoch 2/70, Train Loss: 2.5028
Fold 2, Epoch 3/70, Train Loss: 1.0157
Fold 2, Epoch 4/70, Train Loss: 0.5510
Fold 2, Epoch 5/70, Train Loss: 0.3569
Fold 2, Epoch 6/70, Train Loss: 0.1565
